iter	Passed	Remaining
0	1	144
1	3	147
2	4	132
3	4	115
4	5	112
5	6	108
6	7	105
7	8	102
8	9	98
9	10	95
10	11	94
11	12	95
12	14	93
13	15	92
14	16	91
15	17	92
16	18	92
17	19	90
18	20	88
19	21	87
20	22	85
21	23	83
22	24	81
23	25	80
24	26	79
25	27	77
26	28	76
27	29	74
28	30	73
29	31	72
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	39	64
38	40	63
39	41	62
40	43	61
41	43	60
42	44	59
43	45	58
44	46	57
45	47	56
46	48	54
47	49	53
48	50	52
49	51	51
50	52	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	71	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	89	9
90	90	8
91	91	7
92	92	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
